Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Kazakhstan,"16,882","47,256","91,119","9,001","16,860",46,"1,52,10,609",137,160,74
Kenya,"2,298","5,232","9,534","10,139","18,190",41,"3,55,98,952",102,148,101
Kiribati,5,7,10,"9,158","20,552",237,"92,003",131,131,4
"Korea, Democratic People's Republic of",8,8,10,"10,902","41,500",140,"2,36,15,611",88,37,11
"Korea, Republic of","9,763","18,081","32,612","20,153","1,04,566",41,"4,78,69,837",5,1,101
Kuwait,"3,845","29,090","64,412","17,224","74,442",23,"2,700",14,3,215
Kyrgyzstan,"3,501","8,834","18,497","9,357","17,012",34,"52,03,547",126,158,137
Lao People's Democratic Republic,"5,442","12,953","28,921","12,162","22,362",41,"5,66,391",61,118,101
Latvia,"7,509","17,422","34,543","10,490","32,179",25,"23,01,793",97,66,207
Lebanon,"2,366","5,555","8,351","11,052","40,253",25,"4,01,074",85,41,207
Lesotho,115,169,"1,101","11,356","34,400",26,"19,80,831",77,59,197
Liberia,99,168,484,"13,150","25,323",27,"34,41,796",44,95,189
Libyan Arab Jamahiriya,"3,646","10,538","23,173","4,425","10,419",52,"59,18,217",211,203,52
Liechtenstein,112,193,362,"15,067","41,534",32,"34,598",21,36,155
Lithuania,"8,049","15,589","28,114","11,966","44,887",28,"34,25,077",66,30,181
Luxembourg,"1,189","2,321","3,788","13,425","43,860",28,"4,56,613",38,31,181
Macau,35,"1,091","2,493","14,958","38,416",24,"47,309",24,50,212
Madagascar,151,200,370,"6,036","9,622",118,"1,86,42,586",198,208,15
Malawi,346,545,922,"11,372","20,172",31,"1,32,26,091",76,134,162
Malaysia,"47,208","4,72,095","10,83,643","9,578","20,485",40,"2,56,52,985",118,132,108
Maldives,26,461,784,"15,558","39,031",22,"2,95,297",20,48,219
Mali,302,438,898,"11,502","30,585",30,"11,61,109",74,75,169
Malta,478,"1,746","2,708","13,256","39,179",26,"4,02,617",42,47,197
Martinique,253,373,770,"11,337","40,292",113,"3,95,896",79,40,16
Mauritania,202,342,723,"1,483","3,934",78,"29,63,105",223,224,25
Mauritius,720,"1,519","2,672","10,656","22,533",39,"12,41,173",94,117,112
Mexico,"55,368","2,04,494","3,35,104","11,928","22,547",59,"10,42,66,392",67,116,40
"Micronesia, Federated States of",20,35,96,"6,300","23,765",32,"1,10,058",195,104,155
Monaco,32,113,213,"9,524","48,568",52,325,121,21,52
Mongolia,730,"1,164","2,498","13,099","20,571",42,"25,80,704",46,130,97
Montenegro,"1,038","3,070","5,676","13,293","34,796",27,"6,07,969",39,56,189
Montserrat,12,22,27,"3,799","9,882",45,"5,628",216,204,81
Morocco,"10,546","38,346","69,439","12,717","30,709",32,"3,04,94,991",52,73,155
Mozambique,"1,025","2,035","5,306","8,172","17,373",45,"2,05,32,675",165,156,81
Namibia,844,"1,822","4,571","9,959","18,398",37,"20,19,677",108,146,121
Nauru,4,6,17,"9,041","17,594",272,"10,111",135,154,3
Nepal,"2,291","4,317","7,891","8,006","13,592",42,"2,70,93,656",166,184,97
Netherlands,"25,426","48,520","77,318","14,742","67,241",28,"16,32,769",25,10,181
Netherlands Antilles,198,348,672,"17,019","46,773",27,"1,86,392",15,25,189
New Caledonia,104,149,265,"3,505","15,135",31,"2,34,185",219,170,162
New Zealand,"6,963","12,042","21,505","12,976","48,797",45,"40,97,112",48,20,81
Nicaragua,"1,536","4,707","7,563","9,539","18,534",36,"54,62,539",119,145,129
Niger,168,282,820,"4,932","6,652",150,"13,26,419",208,219,7
Nigeria,"4,319","7,817","17,349","7,079","13,262",59,"14,13,56,083",184,189,40
Niue,2,2,5,"10,238","9,144",796,"1,632",100,210,1
Northern Mariana Islands,100,261,487,"9,395","23,860",34,"80,258",124,103,137
Norway,"16,071","22,738","38,637","15,036","63,862",35,"46,38,836",22,12,133
Oman,"3,833","7,011","11,960","15,579","39,294",31,"25,07,042",19,46,162
Pakistan,"34,121","1,55,406","2,94,408","9,857","13,709",49,"15,80,80,591",113,182,60
Palau,30,61,121,"14,131","17,837",50,"20,127",27,152,56
Palestine,929,"6,288","12,919","9,039","13,971",38,"37,62,005",136,179,116
Panama,"2,616","8,859","16,232","8,953","12,768",46,"32,31,502",138,192,74
Papua New Guinea,276,532,"1,458","11,347","21,548",141,"60,69,715",78,124,10
Paraguay,"3,470","7,778","14,355","8,189","12,555",51,"59,04,342",163,193,55
